id,temperaturePlasma,densityPlasma,confinement_time_Plasma
1,102.8,0.85,2.1068635992054867
2,118.4,0.38,1.2451299884977152
3,95.3,0.5,0.7564130912347031
4,142.6,0.65,1.6676207745103053
5,104.7,0.96,2.2979701454944155
6,107.6,1.06,2.3454754735132095
7,146.8,1.08,3.5865327440466506
8,135.7,0.57,1.582267599373938
9,114.6,0.75,1.9414880062116295
10,132.4,1.09,3.3538217024181813
11,120.5,0.9,2.362580394922462
12,131.0,0.36,0.9920209240678355
13,80.5,0.94,1.4965970714871624
14,93.9,0.71,1.2228986234460033
15,110.7,0.75,1.5723279497743532
16,127.8,0.83,2.111450141930468
17,147.0,0.65,2.1728992041368533
18,125.4,1.03,2.407956972421659
19,149.8,0.45,1.3935284858590111
20,132.5,0.44,1.2137695660832968
21,87.7,0.54,0.8322293221043361
22,114.4,0.26,0.589329237120615
23,119.6,0.92,2.317088439796452
24,97.7,0.32,0.7180587712549269
25,123.9,0.28,1.0117002852086032
26,96.4,0.99,2.283848389723503
27,88.7,0.69,1.1526163263668232
28,122.7,1.04,2.6921886143896767
29,127.1,1.1,3.190597060633746
30,133.4,0.3,0.5373823881719502
31,121.2,0.42,1.075000679864987
32,105.6,1.12,2.480749803349425
33,89.1,1.12,2.2719209506978313
34,146.3,0.72,1.9441443959642404
35,120.2,0.67,1.661284230977253
36,127.5,0.94,2.585296316422101
37,120.0,0.36,1.0469821729088498
38,85.0,0.9,1.6632096079912437
39,129.1,0.96,2.6037525496944447
40,86.6,1.02,1.8858303547750028
41,139.2,1.16,3.6582650258634994
42,104.4,0.72,1.8051234548647563
43,133.8,0.85,2.295164658956729
44,98.8,0.65,1.6765196824194677
45,117.8,1.13,2.5323015701971574
46,100.6,0.88,1.6321827403479103
47,96.9,0.72,1.5613086169734394
48,148.5,0.71,2.2586288030788557
49,139.8,0.27,0.8308492402763497
50,129.4,1.09,2.8268050578973107
51,110.9,0.65,1.3653107896759833
52,142.0,0.99,3.0082472795264166
53,116.5,0.38,0.8219634974644416
54,146.0,0.75,2.4458815322868492
55,136.8,0.53,1.169466288234314
56,112.5,0.34,0.5925282269408105
57,148.4,0.84,2.483012730053582
58,115.0,0.2,0.36541759065868595
59,130.1,0.8,2.318980303072055
60,93.3,0.83,1.753271519107906
61,106.3,0.76,1.5778288523576944
62,119.6,0.79,1.7163067480868086
63,92.0,0.83,1.7791164980094605
64,102.9,0.49,0.6315148079612625
65,124.3,0.46,1.3481240244214483
66,106.2,0.89,1.5610603303425639
67,131.0,1.13,3.221280027928809
68,80.1,0.85,1.3046432623023678
69,89.4,0.93,1.8644263087523973
70,117.2,0.29,0.5456445077201895
71,85.1,0.51,0.8970632716735277
72,115.1,0.22,0.6144888534990506
73,143.5,0.48,1.492954532094031
74,88.1,0.92,2.020872982546463
75,105.7,1.06,2.39365870163354
76,141.7,0.71,2.446448548880555
77,127.0,0.69,1.945815832412062
78,113.6,0.4,0.7350070342680368
